filepath,author,comment,replies,anchor,created
IMAGERY_TRIAGE.xlsx,,(no comment),,,
manifest.jsonl,,(no comment),,,
12-textures-ambient-arrivals/arrange-garment-bag.jpg,michael singleton,ehh feels fake,,"[null,[null,[0.2411482877202733,0.23718505647263247,0.8451425631357695,0.8488271068635967]],null,""0B4FkjOvGXGNBUXU3Q3p3TWh6OEFsUFFkUmU0WkNBQUVMVXZ3PQ""]",2026-05-05T20:14:27.797Z
12-textures-ambient-arrivals/arrange-florist-dawn.jpg,michael singleton,nice but weirdly low letterbox opening,,"[null,[null,[0.288010425716768,0.315377932232841,0.8110338835794961,0.7584708948740225]],null,""0B4FkjOvGXGNBaXhka29XTkZQOUFRb3MrNkpIUlZBYm9zUHJNPQ""]",2026-05-05T20:14:07.490Z
12-textures-ambient-arrivals/arrange-car-waiting.jpg,michael singleton,not bad,,"[null,[null,[0.46217646446688165,0.25803649000868806,0.7938597328078592,0.7150304083405734]],null,""0B4FkjOvGXGNBc0Rlbk9LTy8xc3c5UlRsbFFmbzVEVWM5dStFPQ""]",2026-05-05T20:13:54.277Z
12-textures-ambient-arrivals/ambient-lugano-dusk.jpg,michael singleton,wonderful if accurate,,"[null,[null,[0.3225203514812069,0.2823631624674196,0.740518856320275,0.7741094700260642]],null,""0B4FkjOvGXGNBYkxWWk0vKy9zZncrdDVRL1MxKy9ISmNUWStJPQ""]",2026-05-05T20:13:46.789Z
12-textures-ambient-arrivals/ambient-london-overcast.jpg,michael singleton,lovely,,"[null,[null,[0.3719818914969667,0.21285838401390095,0.7259713445509339,0.8853171155516941]],null,""0B4FkjOvGXGNBV0p2c09PeHpkQWI3NnVBYnR1SCs0aWc4K1Q0PQ""]",2026-05-05T20:13:34.753Z
12-textures-ambient-arrivals/ambient-mediterranean-late.jpg,michael singleton,nice,,"[null,[null,[0.3575949367088608,0.2888152689873418,0.8481012658227849,0.90234375]],null,""0B4FkjOvGXGNBU01GZDJXcktCQmkxNXdGSmo5VXR6TzQ2enRNPQ""]",2026-05-05T20:13:21.648Z
12-textures-ambient-arrivals/ambient-alpine-first-light.jpg,michael singleton,yes if geographically accurate,,"[null,[null,[0.375,0.2720318150994575,0.6645569620253164,0.8408044190777577]],null,""0B4FkjOvGXGNBdktOUkFRT2VIWTN2N0N3ZzFGK09IazczbmtBPQ""]",2026-05-05T20:13:15.095Z
12-textures-ambient-arrivals/texture-oak-floor.jpg,michael singleton,sure,,"[null,[null,[0.15322879716661456,0.34839270199826233,0.7723018402819042,0.9026933101650738]],null,""0B4FkjOvGXGNBOVdTbzBxdUlxOHhpaFE5aEhQRDlTUHlOLzMwPQ""]",2026-05-05T20:13:01.072Z
12-textures-ambient-arrivals/texture-brass-worn.jpg,michael singleton,weird placement,,"[null,[null,[0.23414422241529104,0.22154648132059077,0.8231972198088617,0.7428323197219808]],null,""0B4FkjOvGXGNBc2t4T0tUbFNXeldEdndMZTllMFloa3JuSnZRPQ""]",2026-05-05T20:12:55.318Z
12-textures-ambient-arrivals/texture-walnut-grain.jpg,michael singleton,yes,,"[null,[null,[0.341876629018245,0.3258036490008688,0.6911381407471764,0.6420503909643788]],null,""0B4FkjOvGXGNBdDRLaXhIM0VHM0s2TThJV1FRcldONkdHZGRFPQ""]",2026-05-05T20:12:46.542Z
